Particle ID,Grain ID,Mineral Classification,Spectrum Counts,EDS Normalised,Porosity,Roughness,Area µm²
2023375,2023375,Goethite + Si,2988,O 41.64%;  Fe 36.53%;  Si 10.66%;  Al 9.73%;  Cr 1.45%;  C 0%;,7.27,1.34,324.80
2023376,2023376,Unclassified,1852,Fe 45.13%;  O 22.12%;  Al 17.11%;  Si 15.63%;  C 0%;,0.00,1.06,2.16
2023377,2023377,Goethite + Si,2556,Fe 42.23%;  O 39.81%;  Si 10.03%;  Al 7.93%;  C 0%;,0.00,1.26,39.68
2023378,2023378,Unclassified,2986,O 46.57%;  Fe 35.09%;  Si 9.23%;  Al 9.1%;  C 0%;,0.00,0.00,0.43
2023379,2023379,Goethite + Si,2624,Fe 38.53%; O 35.18%;  Si 14.02%;  Al 12.26%;  C 0%;,15.33,1.40,505.10
2023380,2023380,Goethite,2765,O 44.98%;  Fe 35.83%;  Si 9.9%;  Al 9.3%;  C 0%;,0.00,1.06,1.73
2023381,2023381,Quartz,3462,O 50.46%;  Si 49.34%;  V 0.2%;,0.00,1.04,73.33
2023382,2023382,Quartz + Fe,3354,O 51.58%;  Si 37.18%;  Fe 7.76%;  Al 3.48%;  C 0%;,0.00,1.18,26.74
2023383,2023383,Lithiophorite Si+Fe-rich,2690,O 48.07%;  Fe 18.95%;  Si 11.93%;  Al 11.05%;  Mn 7.54%;  K 2.46%;  C 0%;,0.00,1.04,4.74
2023384,2023384,Lithiophorite Si+Fe-rich,3049,O 40.11%;  Fe 29.94%;  Si 13.61%;  Al 8.45%;  Mn 7.88%;  C 0%;,0.00,1.13,16.82
2023385,2023385,Goethite + Si,2915,O 42.28%;  Fe 35.35%;  Si 12.15%;  Al 10.21%;  C 0%;,6.38,1.12,151.83
2023386,2023386,Goethite + Si,2387,O 41.56%;  Fe 37.34%;  Si 11.61%;  Al 9.5%;  C 0%;,0.00,1.00,4.74
2023387,2023387,Chromite Al > 14.5,3354,O 36.99%;  Cr 22.03%;  Al 20.77%;  Fe 14.84%;  Mg 5.37%;  C 0%;,0.00,1.13,101.80
2023388,2023388,Unclassified,2707,O 44.02%;  Fe 31.1%;  Si 9.28%;  Al 8.51%;  Ni 3.6%;  Mn 3.5%;  C 0%;,0.00,1.16,14.67
2023389,2023389,Quartz + Fe,3289,O 49.46%;  Si 35.79%;  Fe 11.06%;  Al 3.69%;  C 0%;,0.00,1.17,39.25
2023390,2023390,Ilmenite,2785,O 44.81%;  Fe 23.42%;  Ti 22.49%;  Si 5.11%;  Al 4.16%;  C 0%;,0.00,1.11,13.37
2023392,2023392,Smectite Fe-rich,2176,O 29.29%;  Fe 28.7%;  Si 26.18%;  Mg 7.84%;  Ni 5.18%;  Al 2.81%;  C 0%;,0.00,1.17,216.53
2023393,2023393,Chlorite,2263,O 45.3%;  Si 21.45%;  Fe 18.64%;  Mg 9.74%;  Al 3.38%;  Ni 1.49%;  C 0%;,0.00,1.06,66.43
2023394,2023394,Smectite Fe-rich,2894,O 42.11%;  Si 27.29%;  Fe 19.94%;  Mg 7.89%;  Al 2.77%;  C 0%;,5.68,1.39,852.33
2023395,2023395,Smectite Fe-rich,2472,O 35.73%;  Si 32.22%;  Fe 21.37%;  Mg 5.25%;  Ni 3.85%;  Al 1.58%;  C 0%;,0.00,1.22,51.33
2023396,2023396,Smectite Fe-rich,2915,O 45.65%;  Si 26.59%;  Fe 20.61%;  Mg 5.5%;  Al 1.65%;  C 0%;,0.00,1.08,96.62
2023397,2023397,Chlorite,2970,O 47.02%;  Mg 18.76%;  Si 18.36%;  Fe 8.74%;  Al 6.94%;  S 0.17%;  C 0%;,0.00,1.45,814.80
2023399,2023399,Serpentine Fe-rich,2043,O 42.57%;  Fe 25.04%;  Si 18.72%;  Mg 7.57%;  Ni 5.64%;  Al 0.46%;  C 0%;,0.00,1.07,521.06
2023401,2023401,Smectite Fe-rich,2100,Fe 30.91%;  Si 28.97%;  O 27.63%;  Ni 9.44%;  Mg 1.42%;  Al 0.86%;  V 0.76%;  C 0%;,0.00,1.14,121.64
2023403,2023403,Quartz,3720,O 50.08%;  Si 49.92%;  C 0%;,0.18,1.20,8490.49
2023405,2023405,Smectite Fe-rich,2313,Fe 36.48%; O 35.54%;  Si 20.08%;  Al 4.22%;  Ni 2.05%;  Mg 1.19%;  Na 0.45%;  C 0%;,17.04,1.48,1644.70
2023406,2023406,Goethite + Si,2833,Fe 43.1%;  O 39.18%;  Si 14.26%;  Al 3.45%;  C 0%;,0.00,1.08,9.06
2023407,2023407,Goethite,2884,Fe 62.57%;  O 29.5%;  Si 7.18%;  Al 0.74%;  C 0%;,0.00,1.02,10.78
2023408,2023408,Hematite,2253,Fe 69.06%;  O 26.13%;  Si 3.78%;  Mg 1.03%;  C 0%;,0.00,1.13,51.76
2023409,2023409,Unclassified,2831,Fe 64.25%;  O 25.07%;  Si 8.63%;  Al 2.05%;  C 0%;,0.00,0.00,0.43
