Grain ID,Spectrum Counts,EDS Normalised,Porosity,Roughness,Area µm²
2,8407,Fe 63.38%;  O 32.24%;  Al 3.18%;  Si 1.21%;  C 0%;,0,1.07,383.71
4,9547,Fe 71.27%;  O 27.95%;  Al 0.79%;  C 0%;,0,1.04,239.58
6,8797,Fe 78.1%;  O 20.6%;  Al 1.31%;  C 0%;,0,1.05,107.13
8,7749,Fe 65.97%;  O 27.68%;  Al 2.65%;  Ti 2.65%;  Si 1.04%;  C 0%;,0.95,2.7,3270.3
9,9173,Ti 37.71%;  O 35.61%;  Fe 26.68%;  C 0%;,0,1.46,4094.21
10,8319,Fe 63.67%;  O 29.4%;  Ti 3.89%;  Al 2.19%;  Si 0.85%;  C 0%;,0,1.08,17.53
11,8336,Fe 71.46%;  O 25.71%;  Al 1.89%;  Si 0.94%;  C 0%;,0,1.13,112.97
12,8665,Fe 63.28%;  O 29.7%;  Al 4.1%;  Si 2.92%;  C 0%;,0,1.07,23.37
14,7297,Fe 57.16%;  O 36.99%;  Al 3.94%;  Si 1.91%;  C 0%;,3.33,1.36,1073.22
16,9220,Fe 35.62%;  Ti 33.51%;  O 30.87%;  C 0%;,0,1.09,23708.24
18,9475,Fe 69.49%;  O 27.56%;  Al 2.94%;  C 0%;,3.67,1.97,52400.83
20,9241,Fe 67.62%;  O 29.77%;  Al 2.61%;  C 0%;,2.88,1.33,2099.7
78,9824,Fe 72.47%;  O 27.53%;  C 0%;,0.47,1.21,14419.33
79,8571,Fe 54.49%;  O 35.6%;  Al 6.57%;  Si 3.34%;  C 0%;,0,1.29,241.52
80,8863,Fe 57.31%;  O 32.75%;  Al 6.33%;  Si 3.6%;  C 0%;,0,1.3,1168.66
81,7243,Fe 39.51%;  O 38.4%;  Al 12.02%;  Si 10.06%;  C 0%;,0,1.23,790.79
82,9930,Fe 71.8%;  O 27.36%;  Al 0.84%;  C 0%;,0,1.11,13575.95
83,7909,Fe 62.38%;  O 30.27%;  Al 5.15%;  Si 2.21%;  C 0%;,0,1.05,44.8
84,9751,Fe 72.74%;  O 27.26%;  C 0%;,0.02,1.16,154888.54
85,7019,O 37.24%;  Fe 28.05%;  Al 18.54%;  Si 16.16%;  C 0%;,0,1.15,327.23
86,9769,Fe 71.82%;  O 28.18%;  C 0%;,0,1.2,7495.02
88,9095,Ti 58.52%;  O 36.48%;  Fe 4.23%;  V 0.77%;,0.5,1.15,4690.23
89,9771,Fe 73.67%;  O 26.33%;  C 0%;,0,1.12,5040.83
90,9693,Fe 72.72%;  O 27.28%;  C 0%;,0,1.1,10140.09
91,9530,Fe 72.4%;  O 26.78%;  Al 0.82%;  C 0%;,0,1.06,2851.53
92,9251,Ti 36.81%;  Fe 33.11%;  O 30.08%;  C 0%;,0,1.06,6275.71
93,8787,Ti 35.72%;  O 34.14%;  Fe 28.66%;  Mn 1.48%;  C 0%;,0,1.48,1121.91
95,8978,Ti 37.69%;  O 33.3%;  Fe 26.92%;  Mn 1.54%;  Al 0.55%;  C 0%;,0,1.15,58123.38
100,8576,Ti 41.79%;  O 33.26%;  Fe 22.28%;  Mn 2.67%;  C 0%;,0.34,1.12,5184.96
101,9664,Fe 72.43%;  O 26.9%;  Al 0.67%;  C 0%;,0,1.08,27146.06
132,9614,Fe 72.87%;  O 26.28%;  Al 0.85%;  C 0%;,0,1.06,14610.22
133,7261,Fe 72.34%;  O 25.03%;  Al 2.63%;  C 0%;,2.42,2.37,1410.18
134,9219,Fe 70.63%;  O 27.22%;  Al 1.39%;  Si 0.75%;  C 0%;,2.64,1.63,14830.31
136,11320,Ce 30.32%;  O 25.25%;  P 16.5%;  La 15.51%;  Nd 12.41%;  C 0%;,0.16,1.13,11016.58
138,8683,Ti 55.55%;  O 40.22%;  Fe 3.7%;  Al 0.54%;  C 0%;,0,2.3,2193.19
139,9323,Ti 36.55%;  O 29.94%;  Fe 29.73%;  Mn 3.78%;  C 0%;,0,1.26,22605.81
141,9003,Fe 63.75%;  O 30.1%;  Al 3.75%;  Si 2.4%;  C 0%;,0.29,1.12,6063.41
143,10500,Si 50.45%;  O 49.55%;  C 0%;,0,1.1,1630.28
144,9388,Ti 33.51%;  Fe 33.3%;  O 31.26%;  Mn 1.93%;  C 0%;,0.1,1.13,18048.03
146,8743,Fe 70.01%;  O 26.72%;  Al 2.37%;  Si 0.9%;  C 0%;,4.79,2.35,24952.87
148,9253,Fe 73.49%;  O 26.51%;  C 0%;,0,1.05,541.48
150,9357,Fe 71.16%;  O 27.32%;  Al 1.52%;  C 0%;,5.45,1.75,16166.48
152,9632,Fe 72.59%;  O 26.54%;  Al 0.88%;  C 0%;,0,1.07,1622.49
197,9429,Ti 33.41%;  Fe 32.44%;  O 31.79%;  Mn 2.37%;  C 0%;,0,1.06,323.33
198,7594,Ti 58.9%;  O 33.64%;  Fe 5.97%;  Al 1.49%;  C 0%;,0,2.42,2236.04
199,9372,Ti 34.02%;  Fe 33.61%;  O 30.42%;  Mn 1.95%;  C 0%;,0,1.27,4135.11
201,9701,Fe 73.27%;  O 26.73%;,0,1.11,27835.57
202,8577,O 42.18%;  Fe 26.53%;  Al 17.76%;  Si 13.54%;  C 0%;,7.52,2.45,17750.02
203,6352,O 43.84%;  Al 25.46%;  Si 22.93%;  Fe 7.76%;  C 0%;,0,1.16,773.26
204,6237,Fe 65.24%;  O 27.03%;  Al 4.27%;  Si 2.34%;  Na 1.12%;  C 0%;,30.51,1.94,1756.89
205,9415,Fe 66.43%;  O 28.47%;  Al 3.91%;  Si 1.19%;  C 0%;,5.57,2.22,12919.55
206,9185,Fe 61.65%;  O 31.44%;  Al 4.44%;  Si 2.47%;  C 0%;,5.65,2.39,40437.63
210,9613,Fe 74.12%;  O 25.88%;  C 0%;,0,1.12,33260.1
213,8220,Fe 46.14%;  O 40.65%;  Al 8.62%;  Si 4.59%;  C 0%;,0,1.4,4392.22
214,9730,Fe 73.35%;  O 26.65%;  C 0%;,0,1.07,5033.04
215,10288,O 50.43%;  Si 49.57%;  C 0%;,0,1.82,1924.4
216,8870,Fe 65.51%;  O 29.61%;  Al 3.25%;  Si 1.63%;  C 0%;,0,1.1,1042.06
242,9491,Fe 73.97%;  O 26.03%;  C 0%;,0,1.08,163.61
247,7262,O 44.02%;  Al 23.26%;  Si 20.76%;  Fe 11.96%;  C 0%;,0,1.09,1904.92
249,9787,Fe 71.79%;  O 27.54%;  Al 0.67%;  C 0%;,1.77,1.72,8671.47
251,9714,Fe 75.8%;  O 24.2%;  C 0%;,0,1.07,7259.34
253,9616,Fe 70.05%;  O 27.97%;  Al 1.36%;  Si 0.62%;  C 0%;,3.3,1.94,36590.79
255,9639,Fe 70.12%;  O 27.83%;  Al 2.05%;  C 0%;,4.28,1.93,16848.2
257,9973,Fe 75.17%;  O 24.83%;  C 0%;,0,1.13,10477.05
259,9789,Fe 73.91%;  O 26.09%;  C 0%;,0.62,1.18,36191.5
261,9669,Fe 72.47%;  O 27.53%;  C 0%;,0,1.07,22233.78
263,8183,Fe 70.72%;  O 25.36%;  Al 3.92%;  C 0%;,1.81,3.36,5533.61
264,8256,Fe 74.15%;  O 23.01%;  Al 2.85%;  C 0%;,1.24,1.75,5268.72
265,8765,Fe 68.76%;  O 28.32%;  Al 2.92%;  C 0%;,2.42,1.72,3461.19
266,7308,Fe 70.78%;  O 23.84%;  Al 4.77%;  Si 0.61%;  C 0%;,0,1.08,17.53
301,9613,Fe 68.86%;  O 29.19%;  Zr 1.19%;  Al 0.76%;  C 0%;,0.79,1.18,10465.36
303,6811,O 41.87%;  Ti 26.27%;  Fe 13.65%;  Al 10.53%;  Si 7.67%;  C 0%;,13.1,1.66,387.61
