Grain ID,Spectrum Counts,Porosity,Roughness,Area µm²,Fe,O,Al,Si,C,Ti,V,Mn,Ce,P,La,Nd,Na,Zr,Bi,Sr,Au,Cl,As,Sn,Mg,Zn,Nb,Sb,U,Y,S,Eu,Pd,Cr,K,Ca,Yb,F,Sc,Cd,Ba,Dy,Pt,Pb,Ta,Th,Pr,Hf,Pm,Cu
2,8407,0,1.07,383.71,63.38,32.24,3.18,1.21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,9547,0,1.04,239.58,71.27,27.95,0.79,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,8797,0,1.05,107.13,78.1,20.6,1.31,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,7749,0.95,2.7,3270.3,65.97,27.68,2.65,1.04,0,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9173,0,1.46,4094.21,26.68,35.61,,,0,37.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,8319,0,1.08,17.53,63.67,29.4,2.19,0.85,0,3.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,8336,0,1.13,112.97,71.46,25.71,1.89,0.94,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,8665,0,1.07,23.37,63.28,29.7,4.1,2.92,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,7297,3.33,1.36,1073.22,57.16,36.99,3.94,1.91,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,9220,0,1.09,23708.24,35.62,30.87,,,0,33.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,9475,3.67,1.97,52400.83,69.49,27.56,2.94,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,9241,2.88,1.33,2099.7,67.62,29.77,2.61,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,9824,0.47,1.21,14419.33,72.47,27.53,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,8571,0,1.29,241.52,54.49,35.6,6.57,3.34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,8863,0,1.3,1168.66,57.31,32.75,6.33,3.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,7243,0,1.23,790.79,39.51,38.4,12.02,10.06,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,9930,0,1.11,13575.95,71.8,27.36,0.84,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,7909,0,1.05,44.8,62.38,30.27,5.15,2.21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,9751,0.02,1.16,154888.54,72.74,27.26,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,7019,0,1.15,327.23,28.05,37.24,18.54,16.16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,9769,0,1.2,7495.02,71.82,28.18,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,9095,0.5,1.15,4690.23,4.23,36.48,,,,58.52,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,9771,0,1.12,5040.83,73.67,26.33,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,9693,0,1.1,10140.09,72.72,27.28,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,9530,0,1.06,2851.53,72.4,26.78,0.82,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,9251,0,1.06,6275.71,33.11,30.08,,,0,36.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,8787,0,1.48,1121.91,28.66,34.14,,,0,35.72,,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,8978,0,1.15,58123.38,26.92,33.3,0.55,,0,37.69,,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,8576,0.34,1.12,5184.96,22.28,33.26,,,0,41.79,,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,9664,0,1.08,27146.06,72.43,26.9,0.67,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,9614,0,1.06,14610.22,72.87,26.28,0.85,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,7261,2.42,2.37,1410.18,72.34,25.03,2.63,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,9219,2.64,1.63,14830.31,70.63,27.22,1.39,0.75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,11320,0.16,1.13,11016.58,,25.25,,,0,,,,30.32,16.5,15.51,12.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,8683,0,2.3,2193.19,3.7,40.22,0.54,,0,55.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,9323,0,1.26,22605.81,29.73,29.94,,,0,36.55,,3.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,9003,0.29,1.12,6063.41,63.75,30.1,3.75,2.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,10500,0,1.1,1630.28,,49.55,,50.45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,9388,0.1,1.13,18048.03,33.3,31.26,,,0,33.51,,1.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,8743,4.79,2.35,24952.87,70.01,26.72,2.37,0.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,9253,0,1.05,541.48,73.49,26.51,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,9357,5.45,1.75,16166.48,71.16,27.32,1.52,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,9632,0,1.07,1622.49,72.59,26.54,0.88,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,9429,0,1.06,323.33,32.44,31.79,,,0,33.41,,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,7594,0,2.42,2236.04,5.97,33.64,1.49,,0,58.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,9372,0,1.27,4135.11,33.61,30.42,,,0,34.02,,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,9701,0,1.11,27835.57,73.27,26.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,8577,7.52,2.45,17750.02,26.53,42.18,17.76,13.54,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,6352,0,1.16,773.26,7.76,43.84,25.46,22.93,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,6237,30.51,1.94,1756.89,65.24,27.03,4.27,2.34,0,,,,,,,,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,9415,5.57,2.22,12919.55,66.43,28.47,3.91,1.19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,9185,5.65,2.39,40437.63,61.65,31.44,4.44,2.47,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,9613,0,1.12,33260.1,74.12,25.88,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,8220,0,1.4,4392.22,46.14,40.65,8.62,4.59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,9730,0,1.07,5033.04,73.35,26.65,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,10288,0,1.82,1924.4,,50.43,,49.57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,8870,0,1.1,1042.06,65.51,29.61,3.25,1.63,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,9491,0,1.08,163.61,73.97,26.03,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,7262,0,1.09,1904.92,11.96,44.02,23.26,20.76,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,9787,1.77,1.72,8671.47,71.79,27.54,0.67,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,9714,0,1.07,7259.34,75.8,24.2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,9616,3.3,1.94,36590.79,70.05,27.97,1.36,0.62,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,9639,4.28,1.93,16848.2,70.12,27.83,2.05,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,9973,0,1.13,10477.05,75.17,24.83,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,9789,0.62,1.18,36191.5,73.91,26.09,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,9669,0,1.07,22233.78,72.47,27.53,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,8183,1.81,3.36,5533.61,70.72,25.36,3.92,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
